TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Admin\Downloads\Livehime-Win-beta-4.17.1.3187.exe,https://live.bilibili.com/?spm_id_from=333.999.b_696e7465726e6174696f6e616c486561646572.4,216061776,2022-04-05T07:11:45.83918+08:00,2022-04-05T07:12:27.16017+08:00,application/x-msdownload
C:\Users\Admin\Downloads\EpicInstaller-13.3.0-da1bc5b38ed94b00b030cc54df4c8a16.msi,https://launcher-public-service-prod06.ol.epicgames.com/launcher/api/installer/download/EpicGamesLauncherInstaller.msi?trackingId=da1bc5b38ed94b00b030cc54df4c8a16,158863360,2022-05-20T11:32:33.323184+08:00,2022-05-20T11:32:56.876614+08:00,application/x-ole-storage
C:\Users\Admin\Downloads\ludashisetup2020 (1).exe,https://cdn-file-ssl-pc.ludashi.com/pc/appstore/ludashi/ludashisetup2020.exe?_ver=2022032418,156970168,2022-03-24T10:27:12.295168+08:00,2022-03-24T10:28:32.847834+08:00,application/octet-stream
C:\Users\Admin\Downloads\GeForce_Experience_v3.25.0.84.exe,https://www.nvidia.com/en-us/geforce/drivers/,131228816,2022-03-24T10:17:01.052665+08:00,2022-03-24T10:17:19.139462+08:00,application/octet-stream
C:\Users\Admin\Downloads\3DMGAME-DirectX.Repair.V3.5.zip,https://dl1.qwp365.cn/akuka/3DMGAME-DirectX.Repair.V3.5.zip,103487122,2022-03-26T13:53:32.583572+08:00,1601-01-01T00:00:00+08:00,application/zip
C:\Users\Admin\Downloads\3DMGAME-DirectX.Repair.V3.5.zip,https://dl1.qwp365.cn/akuka/3DMGAME-DirectX.Repair.V3.5.zip,103487122,2022-03-26T13:53:50.93086+08:00,1601-01-01T00:00:00+08:00,application/zip
C:\Users\Admin\Downloads\directx_Jun2010_redist (2).exe,https://download.microsoft.com/download/8/4/A/84A35BF1-DAFE-4AE8-82AF-AD2AE20B6B14/directx_Jun2010_redist.exe,100275120,2022-04-04T16:17:05.116392+08:00,2022-04-04T16:17:16.184799+08:00,application/octet-stream
C:\Users\Admin\Downloads\directx_Jun2010_redist (1).exe,https://download.microsoft.com/download/8/4/A/84A35BF1-DAFE-4AE8-82AF-AD2AE20B6B14/directx_Jun2010_redist.exe,100275120,2022-04-04T08:59:14.842583+08:00,2022-04-04T08:59:34.146897+08:00,application/octet-stream
C:\Users\Admin\Downloads\primordial_moment4.mp4,https://cdn.discordapp.com/attachments/954401858078777404/955842771678285874/primordial_moment4.mp4,94154365,2022-03-22T14:58:26.794819+08:00,2022-03-22T15:00:54.518624+08:00,video/mp4
C:\Users\Admin\Downloads\primordial_moment4 (1).mp4,https://cdn.discordapp.com/attachments/954401858078777404/955842771678285874/primordial_moment4.mp4,94154365,2022-03-24T13:47:57.515476+08:00,2022-03-24T13:48:10.009502+08:00,video/mp4
