TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Admin\Downloads\DirectX_V4.0.0.35152_XiTongZhiJia.zip,https://soft.xitongxz.net/202105/DirectX_V4.0.0.35152_XiTongZhiJia.zip,209679989,2022-03-26T13:54:53.108202+08:00,2022-03-26T13:56:45.41144+08:00,application/octet-stream
C:\Users\Admin\Downloads\directxxfgjsdw.rar,http://yd.downxia.com/down/directxxfgjsdw.rar?key=c735a7f7ff9ace0f7f25ddb7fc22aa7a,175687784,2022-03-26T13:48:49.87549+08:00,1601-01-01T00:00:00+08:00,application/octet-stream
C:\Users\Admin\Downloads\directxxfgjsdw.rar,http://down1.downxia.com/down/directxxfgjsdw.rar?key=c735a7f7ff9ace0f7f25ddb7fc22aa7a,175687784,2022-03-26T13:47:46.076094+08:00,1601-01-01T00:00:00+08:00,application/octet-stream
C:\Users\Admin\Downloads\ludashisetup2020.exe,https://cdn-file-ssl-pc.ludashi.com/pc/appstore/ludashi/ludashisetup2020.exe?_ver=2022032010,155771528,2022-03-20T02:34:21.231508+08:00,2022-03-20T02:34:31.148074+08:00,application/octet-stream
C:\Users\Admin\Downloads\TencentMeeting_0300000000_3.7.8.401.publish.exe,https://meeting.tencent.com/download-win.html?from=1002&from=1002&fromSource=1,155317624,2022-05-04T12:10:02.566394+08:00,2022-05-04T12:10:17.747978+08:00,application/x-msdownload
C:\Users\Admin\Downloads\YYSetup-9.3.0.1-zh-CN.exe,https://www.yy.com/web/pcyy_download/,117042776,2022-03-27T11:32:22.706522+08:00,2022-03-27T11:32:30.859857+08:00,application/x-msdos-program
C:\Users\Admin\Downloads\3DMGAME-DirectX.Repair.V3.5.zip,https://dl1.qwp365.cn/akuka/3DMGAME-DirectX.Repair.V3.5.zip,103487122,2022-03-26T13:49:19.344678+08:00,1601-01-01T00:00:00+08:00,application/zip
C:\Users\Admin\Downloads\directx_Jun2010_redist.exe,https://sm.myapp.com/original/Development/directx_Jun2010_redist.exe,100694328,2022-03-26T13:44:56.279588+08:00,2022-03-26T13:45:04.894028+08:00,application/octet-stream
C:\Users\Admin\Downloads\Steam  2.3.0安装版（32位）.exe,https://developer.lanzoug.com/file/?BWNXaQEwU2JWXwoyBTABbVZpUmpVWVQiUjBTNAIzU3JXd1E0Dn0OaQF5C20EtQapU4AO41OvBIMB4VXaANQG6AW5V4gBb1M1VuQK4QXcAe9WsFLeVSRUM1ItUzACeFM0Vz5Rag42DgUBPgs5BG0GMVM9DjpTOwQwATZVawBoBiEFY1dzAWFTP1Y4CmgFZQEzVj9SblU8VHBSJVMlAmNTYFdnUTQOYQ51AWcLbgR/BjdTMQ4kU20EMAFiVWcAaQY1BTdXZgFsUz9WZApsBTUBM1ZpUmJVOlRkUjFTMAJuU2JXZVEzDjUObQFiC2UEMwYzUz4OaFMiBGMBflU2AHoGcgV2V2UBLlNuVmQKYQVgATdWO1JkVTlUYFJgU3MCKlM7VzpRYw41DmcBZgtrBGQGPlM5Dj9TOAQwAT9VYwByBikFI1dmATBTcFY9Cm0FZwE0VjVSZ1U+VGVSY1NhAmpTdFciUXYOJA5nAWYLawRkBjFTPg44UzwENwE3VWEAegZyBWxXcAFhUzZWOApvBX8BMlY+Um5VJFRnUmxTYAJwU2NXZg==,88443396,2022-04-04T03:41:31.74725+08:00,2022-04-04T03:41:49.683823+08:00,application/octet-stream
C:\Users\Admin\Downloads\阿泽梯子加速器.exe,https://help.hxznb.com/s/bAUd?path=%2F,86314882,2022-03-20T03:26:08.982423+08:00,2022-03-20T03:26:32.753619+08:00,application/octet-stream
C:\Users\Admin\Downloads\TIM3.3.9.22051.exe,https://tim.qq.com/download.html,83270728,2022-03-22T14:14:31.298014+08:00,2022-03-22T14:15:04.668442+08:00,application/octet-stream
C:\Users\Admin\Downloads\QQMusicSetup.exe,https://dldir1.qq.com/music/clntupate/QQMusicSetup.exe,66490312,2022-04-08T07:02:02.925486+08:00,2022-04-08T07:02:07.238026+08:00,application/octet-stream
C:\Users\Admin\Downloads\cloudmusicsetup2.9.7.199711.exe,https://music.163.com/stat/?web=pc&from=download&t=1647748460760&redirect=https%3A%2F%2Fmusic.163.com%2Fapi%2Fpc%2Fpackage%2Fdownload%2Flatest,63066984,2022-03-20T03:54:21.044559+08:00,2022-03-20T03:54:31.154957+08:00,application/octet-stream
C:\Users\Admin\Downloads\IQIYIsetup_app.exe,http://app.iqiyi.com/pc/player/index.html,55118496,2022-04-12T06:28:16.903207+08:00,2022-04-12T06:28:20.635251+08:00,application/octet-stream
C:\Users\Admin\Downloads\QiYouInstaller__20220402_094408_channel10.exe,https://pan.qiyou.cn/6.3.24/QiYouInstaller__20220402_094408_channel10.exe,54429552,2022-04-17T06:39:41.741861+08:00,2022-04-17T06:39:45.693421+08:00,application/x-msdownload
C:\Users\Admin\Downloads\hanju5.4.1.zip,https://ywnz.com/apps/16797.html,47946518,2022-04-12T09:47:41.848315+08:00,2022-04-12T09:49:33.401778+08:00,application/zip
C:\Users\Admin\Downloads\hanjuTV.zip,https://safe.51xiazai.cn/down/newdown/2/12/hanjuTV.zip,36309630,2022-04-12T09:46:02.532868+08:00,2022-04-12T09:46:03.9688+08:00,application/zip
C:\Users\Admin\Downloads\BaoMiao1.0.9.exe,https://static.baomiao.cn/upload/20220221093604/client_version/BaoMiao1.0.9.exe,33213400,2022-03-26T17:49:22.727346+08:00,2022-03-26T17:49:31.867343+08:00,application/octet-stream
C:\Users\Admin\Downloads\3DB852CC94208972B41124C886FF0CD6.apk,https://www.iefans.cn/pc/15727.html,32110082,2022-04-12T09:47:00.435468+08:00,2022-04-12T09:47:01.467124+08:00,application/vnd.android.package-archive
